MSOA,LSOA,Consumption (kWh),Number of meters,Mean consumption (kWh per meter),Median consumption (kWh per meter)
E02002483,E01011954,11179534.12,979,11419.34,11132.54
E02002483,E01011969,8513261.13,630,13513.11,13077.15
E02002483,E01011970,6203426.31,454,13663.93,13254.7
E02002483,E01011971,7274062.31,530,13724.65,13389.71
E02002483,E01033465,11253150.35,810,13892.78,13292.78
E02002483,E01033467,8480464.89,743,11413.82,10487.64
E02002484,E01011952,7770102.87,642,12102.96,11145.9
E02002484,E01011953,7942917.9,846,9388.79,8925.32
E02002484,E01011991,11327885.26,778,14560.26,13044.02
E02002484,E01011992,7529769.54,799,9423.99,8839.76
E02002484,E01011993,9285352.13,886,10480.08,9985.66
E02002484,E01011994,6042858.56,686,8808.83,8911.97
E02002485,E01011955,5921662.71,627,9444.44,8544.02
E02002485,E01011957,5949932.28,580,10258.5,9820.47
E02002485,E01032540,4890884.27,438,11166.4,11188.43
E02002485,E01032541,11373388.72,988,11511.53,10975.77
E02002485,E01033466,9960541.05,1046,9522.51,9203.26
E02002487,E01011973,6360280.91,661,9622.21,7462.91
E02002487,E01011974,8267902.08,839,9854.47,7245.3
E02002487,E01011975,6454113.75,668,9661.85,8690.9
E02002487,E01011976,5222682.49,482,10835.44,9331.36
E02002488,E01011965,13933599.41,641,21737.28,20461.92
E02002488,E01011966,10288557.86,623,16514.54,15179.03
E02002488,E01011983,13140848.66,637,20629.28,19279.92
E02002488,E01012002,8792524.23,684,12854.57,12716.12
E02002489,E01011951,8443337.29,830,10172.7,8912.46
E02002489,E01011964,9872008.9,535,18452.35,16955.49
E02002489,E01011967,9606628.09,534,17989.94,17789.32
E02002489,E01011999,12642255.19,971,13019.83,10832.84
E02002489,E01012000,7447606.33,827,9005.57,7051.43
E02002490,E01011950,6646163.2,796,8349.45,6417.41
E02002490,E01011986,7984934.72,563,14182.83,14064.29
E02002490,E01011987,8052245.3,683,11789.52,11248.27
E02002490,E01012001,9381782.39,1037,9047.04,8089.02
E02002491,E01011949,9403501.48,756,12438.49,12256.68
E02002491,E01011980,8210751.73,826,9940.38,9719.58
E02002491,E01011981,7595973.29,706,10759.17,10364.99
E02002491,E01011984,7425261.13,517,14362.21,14217.61
E02002492,E01011985,7243636.99,553,13098.8,12454.01
E02002492,E01011988,9609733.93,861,11161.13,10812.07
E02002492,E01011989,10546084.08,850,12407.16,10899.11
E02002492,E01011990,9027665.68,729,12383.63,11850.64
E02002493,E01011995,9120009.89,638,14294.69,14036.1
E02002493,E01011996,9442814.05,626,15084.37,13447.58
E02002493,E01011997,12182610.29,846,14400.25,13970.82
E02002493,E01011998,10986674.58,829,13252.92,12724.04
E02002494,E01011961,7701078.14,635,12127.68,11730.96
E02002494,E01011962,7624033.63,639,11931.2,11504.45
E02002494,E01011977,8195970.33,773,10602.81,10506.43
E02002494,E01011978,6687109.79,771,8673.29,7989.12
E02002494,E01011979,6966965.38,648,10751.49,10822.95
E02006909,E01011959,15002295.75,757,19818.09,18083.09
E02006909,E01011960,9344347.18,619,15095.88,14558.85
E02006909,E01011963,9010318.5,678,13289.56,13204.75
E02006909,E01011968,12826269.04,988,12982.05,11887.73
E02006909,E01011982,12169049.46,557,21847.49,20843.72
E02006909,E01012003,10094429.28,697,14482.68,13335.31
E02006909,E01012005,10831203.76,705,15363.41,14831.85
E02002496,E01012068,9751164.19,836,11664.07,8347.68
E02002496,E01012092,7674503.46,597,12855.11,10260.14
E02002496,E01012093,8933753.71,767,11647.66,9792.28
E02002496,E01012094,12785520.28,1002,12760,10198.32
E02002496,E01033468,16898572.7,1546,10930.51,7409.99
E02002497,E01012058,8310115.73,885,9389.96,7272.01
E02002497,E01012059,7824114.74,800,9780.14,7218.1
E02002497,E01012060,7124765.58,741,9615.07,8662.71
E02002497,E01012061,6800549.95,560,12143.84,11036.1
E02002498,E01012036,6509792.28,704,9246.86,7957.47
E02002498,E01012037,8093841.74,811,9980.08,8564.79
E02002498,E01012038,7465318.5,693,10772.47,9325.42
E02002498,E01012039,7224062.31,648,11148.24,9599.9
E02002498,E01012040,7795857.57,717,10872.88,9130.56
E02002498,E01012041,4525052.42,522,8668.68,6682.99
E02002499,E01012074,7715013.85,667,11566.74,11184.97
